"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","package_ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date","Manufacture Date from Wholesale","Manufacture Date from Cult","Manufacture Date from Downtown"
"1","GRÄS Cannabis","Pico De Gallo 3.5g","Pico De Gallo","240124-015","56754","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/a1ae7425-6ecf-4b3c-b829-928cdf349bfe","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"2","GRÄS Cannabis","Modified Strawnana 3.5g","Modified Strawnana","240124-013","56752","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/c5160025-812e-4e53-af06-0e33bd80ce96","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"3","GRÄS Cannabis","Fatso 3.5g","Fatso","240124-007","56760","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/c297586e-6e13-4fa3-9fde-a214287a5025","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"4","GRÄS Cannabis","Kolache 3.5g","Kolache","240124-011","56747","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/71c2c26b-ba5b-4faf-8308-6f9545fd2d82","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"5","GRÄS Cannabis","G.I. Jane 3.5g","G.I. Jane","240124-008","56749","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/278e871c-63ed-49d1-912f-016796fba302","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"6","GRÄS Cannabis","Hula Girl 3.5g","Hula Girl","240124-009","56755","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/aa5fd60a-b291-469c-bb3d-4931fa32033d","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"7","GRÄS Cannabis","Marilyn Monroe 3.5g","Marilyn Monroe","240124-012","56753","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/c06de5e9-eabe-4b64-820f-b451f8f33e67","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"8","GRÄS Cannabis","Dosi-Breath 3.5g","Dosi-Breath","240124-005","56759","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/3c7de9bd-e665-48be-a540-23fca61830c9","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"9","GRÄS Cannabis","Bubble Gum Pop 3.5g","Bubble Gum Pop","240124-004","56748","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/c4e28820-2cf6-4c6e-a67a-ec184904ba7e","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"10","GRÄS Cannabis","Dough-Z 3.5g","Dough-Z","240124-006","56751","1/23/2024","https://orders.confidentcannabis.com/report/public/pdf/61aecbc5-cd2e-4ae8-8f82-779e40365eb5","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC (TME) - 00000126ESDQ50929013","3/13/2024","3/13/2024","3/13/2024",""
"11","DTF - Downtown Flower","Gelato 14g","Gelato","GLTO-240117.0001-W3","56585","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","","3/7/2024",NA,"3/7/2024",NA
"12","DTF - Downtown Flower","Gelato 3.5g","Gelato","GLTO-240117.0001-W3","56581","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","3/7/2024","3/7/2024","",NA
"13","DTF - Downtown Flower","Gelato 3.5g","Gelato","GLTO-240117.0001-W3","56581","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","3/7/2024","3/7/2024","3/7/2024",NA
"14","DTF - Downtown Flower","Gelato 3.5g","Gelato","GLTO-240117.0001-W3","56581","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","3/7/2024","3/7/2024","",NA
"15","DTF - Downtown Flower","Gelato 3.5g","Gelato","GLTO-240117.0001-W3","56581","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","3/7/2024","3/7/2024","3/7/2024",NA
"16","DTF - Downtown Flower","Gelato 7g","Gelato","GLTO-240117.0001-W3","56584","1/17/2024","https://orders.confidentcannabis.com/report/public/pdf/e6867d9d-8727-41f6-9344-bbc367643981","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","3/7/2024","3/7/2024","",NA
